rank,name,market_cap,price,true_volume,listed_volume,percent_fake_volume,n_exchanges_USD_pairs,exchanges
65,PIVX,290901202.0,5.17865,3964.0,21646500.0,99.98%,1,Coinroom
66,WaykiChain,288130752.0,2.00928,0,24111600.0,100.00%,0,
67,KuCoin Shares,284871921.0,3.76165,0,1403230.0,100.00%,0,
68,Loom Network,276210470.0,0.477482,110.0,13356400.0,100.00%,1,YoBit
69,Kyber Network,267794588.0,1.99649,26409.0,35518300.0,99.93%,2,Ethfinex/Livecoin
70,Cryptonex,265496501.0,5.86556,159006.0,2003700.0,92.06%,2,Cryptonex/YoBit
71,Gas,262737140.0,25.9407,0,9571460.0,100.00%,0,
72,Elastos,256332168.0,49.7745,0,24768500.0,100.00%,0,
73,Ethos,253155969.0,3.30279,0,15280000.0,100.00%,0,
74,Centrality,240989335.0,0.339857,0,356286.0,100.00%,0,
75,Bancor,232240165.0,4.49598,0,17449500.0,100.00%,0,
76,MonaCoin,230696558.0,3.88423,0,3149560.0,100.00%,0,
77,Substratum,223283241.0,0.582953,0,8110670.0,100.00%,0,
78,FunFair,221040109.0,0.0454941,312429.0,8061190.0,96.12%,2,Ethfinex/Livecoin
79,ReddCoin,220544816.0,0.00765549,3489.0,33658900.0,99.99%,1,YoBit
80,QASH,219810150.0,0.628029,249582.0,2603590.0,90.41%,2,Ethfinex/Quoine
81,GXChain,219546600.0,3.65911,0,13622000.0,100.00%,0,
82,Fusion,217618800.0,7.3311,0,7174730.0,100.00%,0,
83,Cortex,215447990.0,1.43831,0,77361400.0,100.00%,0,
84,Polymath,210356181.0,0.876485,0,15061900.0,100.00%,0,
85,Syscoin,205042731.0,0.384319,0.0,5752050.0,100.00%,1,Bittylicious
86,Dragonchain,201539973.0,0.845308,0,3180430.0,100.00%,0,
87,Skycoin,198570932.0,22.5294,0,1307420.0,100.00%,0,
88,Huobi Token,189800259.0,3.79599,0,134432000.0,100.00%,0,
89,Matrix AI Network,185691000.0,1.23794,0,2824430.0,100.00%,0,
90,Veritaseum,183221308.0,89.9623,0,520659.0,100.00%,0,
91,Holo,179036393.0,0.00134397,0,5298940.0,100.00%,0,
92,Nexo,178619283.0,0.318963,0,4004950.0,100.00%,0,
93,Nxt,175345469.0,0.175521,37.0,5059620.0,100.00%,1,C-CEX
94,Nuls,174544400.0,4.36361,0,31251500.0,100.00%,0,
95,Enigma,173685024.0,2.32087,0,6925980.0,100.00%,0,
96,Electroneum,172027109.0,0.0247342,0,1195520.0,100.00%,0,
97,Storm,171625404.0,0.0415559,22.0,68908600.0,100.00%,1,YoBit
98,ZCoin,169148748.0,35.787,15277.0,1573620.0,99.03%,1,Coinroom
99,Factom,166587197.0,19.0492,0,1821490.0,100.00%,0,
100,CyberMiles,164761834.0,0.259926,0,75916200.0,100.00%,0,
